"FTP Species" "Portal Species" "Species Label" "Class" "Class Label"
"86" "Delphinapterus_leucas" "Delphinapterus_leucas" "Beluga whale" "Laurasiatheria" "Laurasiatheria"
"87" "Denticeps_clupeoides" "Denticeps_clupeoides" "Denticle herring" "Actinopterygii" "Fish"
"88" "Dicentrarchus_labrax" "Dicentrarchus_labrax" "European seabass" "Actinopterygii" "Fish"
"89" "Dipodomys_ordii" "Dipodomys_ordii" "Kangaroo rat" "Euarchontoglires" "Rodents etc."
"90" "Dromaius_novaehollandiae" "Dromaius_novaehollandiae" "Emu" "Aves" "Birds"
"91" "Drosophila_melanogaster" "Drosophila_melanogaster" "Drosophila melanogaster" "Eukaryota" "Other eukaryotes"
"92" "Echeneis_naucrates" "Echeneis_naucrates" "Live sharksucker" "Actinopterygii" "Fish"
"93" "Echinops_telfairi" "Echinops_telfairi" "Lesser hedgehog tenrec" "Afrotheria" "Afrotheria"
"94" "Electrophorus_electricus" "Electrophorus_electricus" "Electric eel" "Actinopterygii" "Fish"
"95" "Eptatretus_burgeri" "Eptatretus_burgeri" "Hagfish" "Vertebrata" "Other vertebrates"
"96" "Equus_asinus_asinus" "Equus_asinus_asinus" "Donkey" "Laurasiatheria" "Laurasiatheria"
"97" "Equus_caballus" "Equus_caballus" "Horse" "Laurasiatheria" "Laurasiatheria"
"98" "Erinaceus_europaeus" "Erinaceus_europaeus" "Hedgehog" "Laurasiatheria" "Laurasiatheria"
"99" "Erpetoichthys_calabaricus" "Erpetoichthys_calabaricus" "Reedfish" "Actinopterygii" "Fish"
"100" "Erythrura_gouldiae" "Erythrura_gouldiae" "Gouldian finch" "Aves" "Birds"
"101" "Esox_lucius" "Esox_lucius" "Northern pike" "Actinopterygii" "Fish"
"102" "Falco_tinnunculus" "Falco_tinnunculus" "Common kestrel" "Aves" "Birds"
"103" "Felis_catus" "Felis_catus" "Cat" "Laurasiatheria" "Laurasiatheria"
"104" "Ficedula_albicollis" "Ficedula_albicollis" "Collared flycatcher" "Aves" "Birds"
"105" "Fukomys_damarensis" "Fukomys_damarensis" "Damara mole rat" "Euarchontoglires" "Rodents etc."
"106" "Fundulus_heteroclitus" "Fundulus_heteroclitus" "Mummichog" "Actinopterygii" "Fish"
"107" "Gadus_morhua" "Gadus_morhua" "Atlantic cod" "Actinopterygii" "Fish"
"108" "Gallus_gallus" "Gallus_gallus" "Chicken" "Aves" "Birds"
"109" "Gambusia_affinis" "Gambusia_affinis" "Western mosquitofish" "Actinopterygii" "Fish"
"110" "Gasterosteus_aculeatus" "Gasterosteus_aculeatus" "Stickleback" "Actinopterygii" "Fish"
"111" "Geospiza_fortis" "Geospiza_fortis" "Medium ground-finch" "Aves" "Birds"
"112" "Gopherus_agassizii" "Gopherus_agassizii" "Agassiz's desert tortoise" "Sauropsida" "Reptiles"
"113" "Gopherus_evgoodei" "Gopherus_evgoodei" "Goodes thornscrub tortoise" "Sauropsida" "Reptiles"
"114" "Gorilla_gorilla" "Gorilla_gorilla" "Gorilla" "Primates" "Primates"
"115" "Gouania_willdenowi" "Gouania_willdenowi" "Blunt-snouted clingfish" "Actinopterygii" "Fish"
"116" "Haplochromis_burtoni" "Haplochromis_burtoni" "Burton's mouthbrooder" "Actinopterygii" "Fish"
"117" "Heterocephalus_glaber_female" "Heterocephalus_glaber_female" "Naked mole-rat female" "Euarchontoglires" "Rodents etc."
"118" "Heterocephalus_glaber_male" "Heterocephalus_glaber_male" "Naked mole-rat male" "Euarchontoglires" "Rodents etc."
"119" "Hippocampus_comes" "Hippocampus_comes" "Tiger tail seahorse" "Actinopterygii" "Fish"
"120" "Homo_sapiens" "Homo_sapiens" "Human" "Primates" "Primates"
"121" "Hucho_hucho" "Hucho_hucho" "Huchen" "Actinopterygii" "Fish"
"122" "Ictalurus_punctatus" "Ictalurus_punctatus" "Channel catfish" "Actinopterygii" "Fish"
"123" "Ictidomys_tridecemlineatus" "Ictidomys_tridecemlineatus" "Squirrel" "Euarchontoglires" "Rodents etc."
"124" "Jaculus_jaculus" "Jaculus_jaculus" "Lesser Egyptian jerboa" "Euarchontoglires" "Rodents etc."
"125" "Junco_hyemalis" "Junco_hyemalis" "Dark-eyed junco" "Aves" "Birds"
"126" "Kryptolebias_marmoratus" "Kryptolebias_marmoratus" "Mangrove rivulus" "Actinopterygii" "Fish"
"127" "Labrus_bergylta" "Labrus_bergylta" "Ballan wrasse" "Actinopterygii" "Fish"
"128" "Larimichthys_crocea" "Larimichthys_crocea" "Large yellow croaker" "Actinopterygii" "Fish"
"129" "Lates_calcarifer" "Lates_calcarifer" "Barramundi perch" "Actinopterygii" "Fish"
"130" "Laticauda_laticaudata" "Laticauda_laticaudata" "Blue-ringed sea krait" "Sauropsida" "Reptiles"
"131" "Latimeria_chalumnae" "Latimeria_chalumnae" "Coelacanth" "Vertebrata" "Other vertebrates"
"132" "Lepidothrix_coronata" "Lepidothrix_coronata" "Blue-crowned manakin" "Aves" "Birds"
